Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
334,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
335,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree
337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree
339,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Agree
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree
342,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree
345,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree
347,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
350,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
351,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree
352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree
353,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree
359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
362,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
363,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree
366,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
368,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
370,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
371,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
372,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree
373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
375,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
378,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree
379,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree
380,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree
381,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
383,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
385,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree
386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree
387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree
388,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree
389,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree
391,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
395,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
397,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree
398,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree
401,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Agree
403,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree
408,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
409,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Agree
410,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
411,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,NA,NA,Agree
412,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
414,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
415,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
416,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
418,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,NA,Agree
419,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree
420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
422,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree
423,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree
424,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree
